tasks,N,time-tqli,time-all
4,99, 8.550026,264.548672
4,199,38.724718,1079.772817
4,299,104.059739,2520.467913
4,399,217.850267,4622.147296
4,499,369.735701,7436.768397
4,599,596.151771,11033.266029
4,699,972.238255,16073.863624
4,799,1318.000137,20458.805394
4,899,1824.841994,26746.199256
4,999,2338.590954,34347.119354
8,99,165.884490,417.475157
8,199,686.306633,1729.371866
8,299,1560.918016,3971.694256
8,399,2813.582773,7193.774272
8,499,4322.571406,11357.564955
8,599,6363.834696,16739.468987
8,699,9135.449662,23574.902207
8,799,11926.551918,32383.034221
8,899,15082.076040,40549.407964
8,999,19119.076909,51536.663660
12,99,223.240372,475.178688
12,199,930.656098,1980.805925
12,299,2079.777266,4503.247700
12,399,3613.129147,8059.008335
12,499,5677.597407,12753.691123
12,599,8179.005211,18507.096582
12,699,11267.949542,25737.854536
12,799,16563.533451,36958.038754
12,899,22403.571756,47269.193689
12,999,24233.556683,55967.420180
16,99,276.661234,527.498962
16,199,1132.542440,2164.857394
16,299,2565.260879,4969.959706
16,399,4567.484956,9003.177590
16,499,7154.429988,14145.458905
16,599,10456.304490,20825.394707
16,699,14399.792642,28807.959405
16,799,19053.989043,38864.230485
16,899,24569.649928,49483.628607
16,999,30237.794347,62024.467120
4,99,84.334620,338.583490
4,199,38.856524,1078.801379
4,299,101.159791,2502.095030
4,399,218.253205,4614.998078
4,499,371.092068,7429.005864
4,599,600.808384,10952.591543
4,699,890.359118,15385.025851
4,799,1615.325533,21726.189926
4,899,1855.227810,26734.003766
4,999,2393.248689,34245.500587
8,99,169.026256,422.334485
8,199,675.240373,1717.487833
8,299,1571.028432,3969.733804
8,399,2676.898654,7076.401066
8,499,4327.738343,11327.300660
8,599,6491.723337,16819.544521
8,699,9229.789156,23569.359877
8,799,11912.832804,32113.961537
8,899,14988.685229,39854.283953
8,999,18679.253528,50419.881344
12,99,223.852160,475.316555
12,199,902.503624,1942.825696
12,299,1979.827589,4372.994285
12,399,3535.560213,7931.628378
12,499,5695.122061,12767.015505
12,599,8156.307882,18443.547833
12,699,11361.303102,25751.051744
12,799,17384.687752,37680.969875
12,899,19394.286046,44210.094713
12,999,24140.413272,55858.033202
16,99,279.661370,532.238272
16,199,1127.218451,2180.172557
16,299,2576.014092,4981.410798
16,399,4567.416728,8952.329532
16,499,7214.375331,14201.430227
16,599,10479.953813,20742.099583
16,699,14416.330623,28767.601531
16,799,19528.230778,39775.287193
16,899,24792.105841,49716.038156
16,999,30630.289864,62329.052017
4,99,15.328066,265.650362
4,199,37.518056,1085.563286
4,299,98.765005,2497.864847
4,399,209.098505,4589.515324
4,499,361.017465,7351.927167
4,599,592.044846,10899.787562
4,699,903.037763,15266.804824
4,799,1603.715439,21726.209091
4,899,1838.308471,26839.867776
4,999,2354.994427,34227.334958
8,99,171.950710,420.035339
8,199,704.926993,1751.155973
8,299,1561.202665,3968.875143
8,399,2815.505778,7211.688246
8,499,4477.559476,11487.435897
8,599,6960.794698,17343.490131
8,699,9097.522472,23528.697487
8,799,11879.952585,32129.701994
8,899,14991.347308,39795.557892
8,999,18740.053560,50438.047250
12,99,220.717912,470.744671
12,199,895.280468,1927.303897
12,299,2003.722186,4396.049392
12,399,3555.946008,7919.667189
12,499,5611.879470,12591.123740
12,599,8193.424097,18471.464506
12,699,11829.233266,26155.256061
12,799,17888.332446,37949.145581
12,899,21210.976422,46023.762243
12,999,24555.459036,56235.149432
16,99,287.418326,540.732086
16,199,1144.454438,2182.402738
16,299,2606.103620,5007.027509
16,399,4574.233496,8987.578724
16,499,7226.046679,14244.434834
16,599,10657.569613,21016.220740
16,699,14552.831083,28993.968381
16,799,19756.666372,40089.954683
16,899,24853.244721,49798.451859
16,999,30354.830005,62193.981797
